dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,2.178934,8.805042,1.443350,2.945277,3.019013,0.039281,0.003979
0.005000,2.193736,8.805101,1.458152,2.960373,3.019232,0.043825,0.004034
0.005000,2.208613,8.805162,1.473029,2.975470,3.019441,0.041788,0.004089
0.005000,2.223566,8.805223,1.487982,2.990569,3.019648,0.041466,0.004144
0.005000,2.238594,8.805286,1.503010,3.005668,3.019872,0.044800,0.004200
0.005000,2.253698,8.805350,1.518114,3.020768,3.020079,0.041421,0.004257
0.005000,2.268877,8.805415,1.533294,3.035870,3.020293,0.042752,0.004314
0.005000,2.284132,8.805481,1.548549,3.050972,3.020517,0.044894,0.004372
0.005000,2.299462,8.805549,1.563879,3.066076,3.020731,0.042819,0.004431
0.005000,2.314868,8.805618,1.579285,3.081181,3.020947,0.043154,0.004490
0.005000,2.330349,8.805687,1.594766,3.096287,3.021168,0.044128,0.004549
0.005000,2.345906,8.805759,1.610323,3.111394,3.021398,0.045943,0.004609
0.005000,2.361538,8.805831,1.625956,3.126502,3.021611,0.042690,0.004670
0.005000,2.377246,8.805905,1.641664,3.141611,3.021835,0.044710,0.004732
0.005000,2.393030,8.805980,1.657447,3.156721,3.022059,0.044921,0.004794
0.005000,2.408889,8.806057,1.673307,3.171833,3.022288,0.045753,0.004856
0.005000,2.424823,8.806135,1.689241,3.186945,3.022515,0.045341,0.004920
0.005000,2.440833,8.806214,1.705252,3.202059,3.022739,0.044824,0.004983
0.005000,2.456919,8.806295,1.721337,3.217174,3.022968,0.045762,0.005048
0.005000,2.473080,8.806377,1.737499,3.232290,3.023197,0.045972,0.005113
0.005000,2.489317,8.806460,1.753736,3.247407,3.023428,0.046182,0.005179
0.005000,2.505629,8.806545,1.770049,3.262525,3.023660,0.046393,0.005245
0.005000,2.522017,8.806632,1.786437,3.277645,3.023895,0.046887,0.005312
0.005000,2.538481,8.806720,1.802901,3.292765,3.024129,0.046811,0.005380
